,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
116,College of Charleston,CAA,,,10,3,78.8,57.6,21.23,,-5.84,,1.72,2.26,3.98,93.04,89.12,3.92
117,Southern Indiana,OVC,,,9,4,71.5,55.5,16.00,,0.36,,0.77,3.19,3.96,93.76,88.66,5.09
118,Liberty,CUSA,,,8,5,67.9,62.0,5.92,,3.64,,1.67,2.24,3.91,96.22,92.63,3.59
119,Western Illinois,OVC,,,11,2,80.2,61.1,19.15,,-6.76,,6.87,-3.03,3.84,99.63,94.67,4.96
120,Pennsylvania,Ivy,,,10,4,66.7,55.9,10.86,,-0.01,,-1.86,5.51,3.66,92.21,88.75,3.46
121,Idaho,Big Sky,,,10,4,81.6,67.9,13.79,,-5.53,,11.91,-8.27,3.63,98.46,95.36,3.10
122,Rutgers,Big Ten,,,8,7,60.1,60.7,-0.60,,3.98,,-2.95,6.33,3.38,90.41,87.16,3.25
123,Louisiana Tech,CUSA,,,7,5,77.0,63.3,13.67,,2.83,,4.52,-1.29,3.23,97.64,94.49,3.15
124,Miami (OH),MAC,,,10,4,71.5,59.6,11.93,,-2.97,,0.71,2.49,3.20,92.54,89.12,3.42
125,UTSA,American,,,7,6,60.5,57.8,2.77,,3.70,,-5.78,8.97,3.20,86.36,83.09,3.27
126,Vermont,AmEast,,,13,4,69.3,54.1,15.18,,-4.62,,-2.63,5.81,3.18,96.95,92.46,4.49
127,Coastal Carolina,Sun Belt,,,7,9,75.2,64.3,10.94,,-1.03,,4.22,-1.33,2.90,89.54,87.88,1.65
128,California Baptist,WAC,,,9,7,70.6,65.0,5.63,,-2.79,,4.11,-1.28,2.83,90.52,88.65,1.86
129,Cincinnati,Big 12,,,5,10,71.6,71.0,0.60,,4.75,,5.10,-2.50,2.60,96.20,94.05,2.15
130,Charlotte,American,,,8,7,63.5,66.3,-2.73,,5.32,,-0.24,2.83,2.59,90.75,88.55,2.20
131,Army,Patriot,,,10,3,69.2,57.6,11.62,,-7.07,,0.16,2.35,2.51,96.31,93.55,2.76
132,Central Arkansas,A-Sun,,,8,6,70.5,57.9,12.57,,-2.77,,-1.32,3.72,2.40,89.59,87.36,2.23
133,Missouri State,CUSA,,,9,5,67.4,65.4,2.07,,0.32,,-0.02,2.41,2.40,89.31,87.53,1.78
134,Purdue Fort Wayne,Horizon,,,10,5,71.1,62.3,8.80,,-2.03,,1.66,0.53,2.19,90.65,88.61,2.04
135,Austin Peay,A-Sun,,,10,2,70.8,56.5,14.33,,-4.67,,-4.77,6.90,2.13,91.14,88.87,2.27
136,Idaho State,Big Sky,,,9,4,65.0,56.6,8.38,,-2.64,,-6.19,8.30,2.11,86.07,83.51,2.56
137,UC San Diego,Big West,,,8,5,69.5,59.2,10.23,,-5.17,,-0.34,2.25,1.91,88.60,86.92,1.68
138,Southern Mississippi,Sun Belt,,,10,5,80.3,72.5,7.80,,-0.49,,9.48,-7.59,1.90,99.07,97.67,1.40
139,Appalachian State,Sun Belt,,,7,6,65.8,55.3,10.54,,0.83,,-3.22,5.05,1.83,91.77,90.62,1.16
140,Pepperdine,WCC,,,10,5,68.9,66.1,2.73,,1.06,,2.44,-0.61,1.83,93.77,92.77,1.00
141,Eastern Kentucky,A-Sun,,,11,4,75.6,60.8,14.80,,-8.22,,1.76,-0.21,1.55,90.87,90.42,0.45
142,Sam Houston,CUSA,,,8,4,67.1,55.6,11.50,,1.69,,-4.88,6.35,1.47,81.82,82.45,-0.62
143,San Francisco,WCC,,,10,5,68.5,64.9,3.60,,0.41,,2.70,-1.29,1.41,87.45,86.74,0.71
144,UAB,American,,,7,7,73.2,68.4,4.86,,-4.21,,3.87,-2.62,1.25,97.01,96.02,1.00
145,Old Dominion,Sun Belt,,,10,5,68.6,64.4,4.20,,1.83,,-0.68,1.72,1.04,87.11,86.93,0.18
146,High Point,Big South,,,13,2,76.9,61.2,15.67,,-9.55,,5.06,-4.38,0.68,94.12,94.78,-0.66
147,Tulsa,American,,,9,4,72.0,64.4,7.62,,-6.95,,0.58,0.08,0.66,89.96,90.42,-0.47
148,Providence,Big East,,,9,7,59.4,59.7,-0.25,,0.89,,-5.09,5.73,0.64,85.68,86.17,-0.49
149,East Carolina,American,,,10,5,73.0,67.5,5.53,,-4.90,,4.98,-4.35,0.63,91.64,92.73,-1.09
150,Saint Mary's (CA),WCC,,,10,7,58.5,57.1,1.47,,2.66,,-5.29,5.81,0.52,89.20,90.13,-0.92
151,Boise State,MWC,,,10,5,71.5,70.7,0.87,,0.16,,6.91,-6.40,0.51,98.11,99.35,-1.24
152,Tulane,American,,,6,8,70.9,70.9,0.00,,0.28,,4.59,-4.32,0.28,93.54,94.36,-0.83
153,UC Davis,Big West,,,10,4,70.9,63.7,7.21,,-2.66,,3.03,-3.03,0.00,94.75,96.84,-2.09
154,Eastern Michigan,MAC,,,7,5,69.2,64.3,4.83,,-0.58,,0.60,-0.63,-0.03,92.55,93.67,-1.12
155,Northwestern,Big Ten,,,6,8,67.2,73.0,-5.79,,5.71,,4.84,-4.92,-0.07,98.23,99.83,-1.60
156,South Alabama,Sun Belt,,,8,6,71.6,65.3,6.29,,-6.36,,1.00,-1.07,-0.08,90.65,92.12,-1.47
157,Florida Gulf Coast,A-Sun,,,6,7,64.2,62.5,1.69,,10.89,,-5.67,5.55,-0.11,87.57,90.09,-2.52
158,Loyola Marymount,WCC,,,8,7,69.1,63.5,5.53,,-2.26,,2.79,-2.98,-0.19,97.26,98.77,-1.51
159,Albany (NY),AmEast,,,11,4,61.3,53.3,8.00,,-5.22,,-7.30,6.87,-0.43,92.54,93.44,-0.89
160,FDU,NEC,,,11,4,66.7,52.5,14.13,,-9.34,,-6.84,6.27,-0.57,89.33,90.20,-0.87
161,Howard,MEAC,,,11,6,64.5,63.2,1.29,,-1.97,,-1.84,1.17,-0.68,87.99,90.88,-2.90
162,Bradley,MVC,,,8,6,71.2,66.5,4.71,,-1.35,,0.38,-1.35,-0.97,90.76,92.73,-1.97
